ObjectId,Country,Date,Value
1,World,1958M03,315.7
2,World,1958M04,317.45
3,World,1958M05,317.51
4,World,1958M06,317.24
5,World,1958M07,315.86
6,World,1958M08,314.93
7,World,1958M09,313.2
8,World,1958M10,312.43
9,World,1958M11,313.33
10,World,1958M12,314.67
11,World,1959M01,315.58
12,World,1959M02,316.48
13,World,1959M03,316.65
14,World,1959M03,0.3
15,World,1959M04,317.72
16,World,1959M04,0.09
17,World,1959M05,318.29
18,World,1959M05,0.25
19,World,1959M06,318.15
20,World,1959M06,0.29
21,World,1959M07,316.54
22,World,1959M07,0.22
23,World,1959M08,314.8
24,World,1959M08,-0.04
25,World,1959M09,313.84
26,World,1959M09,0.2
27,World,1959M10,313.33
28,World,1959M10,0.29
29,World,1959M11,314.81
30,World,1959M11,0.47
31,World,1959M12,315.58
32,World,1959M12,0.29
33,World,1960M01,316.43
34,World,1960M01,0.27
35,World,1960M02,316.98
36,World,1960M02,0.16
37,World,1960M03,317.58
38,World,1960M03,0.29
39,World,1960M04,319.03
40,World,1960M04,0.41
41,World,1960M05,320.04
42,World,1960M05,0.55
43,World,1960M06,319.59
44,World,1960M06,0.45
45,World,1960M07,318.18
46,World,1960M07,0.52
47,World,1960M08,315.9
48,World,1960M08,0.35
49,World,1960M09,314.17
50,World,1960M09,0.11
51,World,1960M10,313.83
52,World,1960M10,0.16
53,World,1960M11,315
54,World,1960M11,0.06
55,World,1960M12,316.19
56,World,1960M12,0.19
57,World,1961M01,316.89
58,World,1961M01,0.15
59,World,1961M02,317.7
60,World,1961M02,0.23
61,World,1961M03,318.54
62,World,1961M03,0.3
63,World,1961M04,319.48
64,World,1961M04,0.14
65,World,1961M05,320.58
66,World,1961M05,0.17
67,World,1961M06,319.77
68,World,1961M06,0.06
69,World,1961M07,318.57
70,World,1961M07,0.12
71,World,1961M08,316.79
72,World,1961M08,0.28
73,World,1961M09,314.99
74,World,1961M09,0.26
75,World,1961M10,315.31
76,World,1961M10,0.47
77,World,1961M11,316.1
78,World,1961M11,0.35
79,World,1961M12,317.01
80,World,1961M12,0.26
81,World,1962M01,317.94
82,World,1962M01,0.33
83,World,1962M02,318.55
84,World,1962M02,0.27
85,World,1962M03,319.68
86,World,1962M03,0.36
87,World,1962M04,320.57
88,World,1962M04,0.34
89,World,1962M05,321.02
90,World,1962M05,0.14
91,World,1962M06,320.62
92,World,1962M06,0.27
93,World,1962M07,319.61
94,World,1962M07,0.33
95,World,1962M08,317.4
96,World,1962M08,0.19
97,World,1962M09,316.25
98,World,1962M09,0.4
99,World,1962M10,315.42
100,World,1962M10,0.03
101,World,1962M11,316.69
102,World,1962M11,0.19
103,World,1962M12,317.7
104,World,1962M12,0.22
105,World,1963M01,318.74
106,World,1963M01,0.25
107,World,1963M02,319.07
108,World,1963M02,0.16
109,World,1963M03,319.86
110,World,1963M03,0.06
111,World,1963M04,321.38
112,World,1963M04,0.25
113,World,1963M05,322.25
114,World,1963M05,0.38
115,World,1963M06,321.48
116,World,1963M06,0.27
117,World,1963M07,319.74
118,World,1963M07,0.04
119,World,1963M08,317.77
120,World,1963M08,0.12
121,World,1963M09,316.21
122,World,1963M09,-0.01
123,World,1963M10,315.99
124,World,1963M10,0.18
125,World,1963M11,317.07
126,World,1963M11,0.12
127,World,1963M12,318.35
128,World,1963M12,0.2
129,World,1964M01,319.57
130,World,1964M01,0.26
131,World,1964M02,320.01
132,World,1964M02,0.29
133,World,1964M03,320.74
134,World,1964M03,0.28
135,World,1964M04,321.84
136,World,1964M04,0.14
137,World,1964M05,322.26
138,World,1964M05,0
139,World,1964M06,321.89
140,World,1964M06,0.13
141,World,1964M07,320.44
142,World,1964M07,0.22
143,World,1964M08,318.69
144,World,1964M08,0.29
145,World,1964M09,316.7
146,World,1964M09,0.15
147,World,1964M10,316.87
148,World,1964M10,0.28
149,World,1964M11,317.68
150,World,1964M11,0.19
151,World,1964M12,318.71
152,World,1964M12,0.11
153,World,1965M01,319.44
154,World,1965M01,-0.04
155,World,1965M02,320.44
156,World,1965M02,0.13
157,World,1965M03,320.89
158,World,1965M03,0.05
159,World,1965M04,322.14
160,World,1965M04,0.09
161,World,1965M05,322.17
162,World,1965M05,-0.03
163,World,1965M06,321.87
164,World,1965M06,-0.01
165,World,1965M07,321.21
166,World,1965M07,0.24
167,World,1965M08,318.87
168,World,1965M08,0.06
169,World,1965M09,317.81
170,World,1965M09,0.35
171,World,1965M10,317.3
172,World,1965M10,0.14
173,World,1965M11,318.87
174,World,1965M11,0.37
175,World,1965M12,319.42
176,World,1965M12,0.22
177,World,1966M01,320.62
178,World,1966M01,0.37
179,World,1966M02,321.6
180,World,1966M02,0.36
181,World,1966M03,322.39
182,World,1966M03,0.47
183,World,1966M04,323.7
184,World,1966M04,0.48
185,World,1966M05,324.08
186,World,1966M05,0.59
187,World,1966M06,323.75
188,World,1966M06,0.58
189,World,1966M07,322.38
190,World,1966M07,0.36
191,World,1966M08,320.36
192,World,1966M08,0.47
193,World,1966M09,318.64
194,World,1966M09,0.26
195,World,1966M10,318.1
196,World,1966M10,0.25
197,World,1966M11,319.78
198,World,1966M11,0.29
199,World,1966M12,321.03
200,World,1966M12,0.5
201,World,1967M01,322.33
202,World,1967M01,0.53
203,World,1967M02,322.5
204,World,1967M02,0.28
205,World,1967M03,323.04
206,World,1967M03,0.2
207,World,1967M04,324.42
208,World,1967M04,0.22
209,World,1967M05,325
210,World,1967M05,0.28
211,World,1967M06,324.09
212,World,1967M06,0.11
213,World,1967M07,322.54
214,World,1967M07,0.05
215,World,1967M08,320.92
216,World,1967M08,0.17
217,World,1967M09,319.25
218,World,1967M09,0.19
219,World,1967M10,319.39
220,World,1967M10,0.41
221,World,1967M11,320.73
222,World,1967M11,0.3
223,World,1967M12,321.96
224,World,1967M12,0.29
225,World,1968M01,322.57
226,World,1968M01,0.07
227,World,1968M02,323.15
